*,"Data were collected for the time period beginning January 2018, but exclude several months during the onset of the COVID-19 pandemic (i.e., March 2020-August 2020). In some cases, the funded state did not provide CDC enough months of data to calculate percent change. Rates are suppressed when based on <20 overdoses, thus no percent change is available; for more information, please see: Healthy People 2010 Criteria for Data Suppression",,,,,,,,,,,,,,,,,,,,,,
§,The state does not share data from syndromic surveillance systems with DOSE.,,,,,,,,,,,,,,,,,,,,,,
¶,State does not participate in OD2A DOSE ED data sharing.,,,,,,,,,,,,,,,,,,,,,,
**,"Certain comparisons include data from two syndromic surveillance systems; some differences between the systems exist, such as the percent of missing discharge diagnosis codes.",,,,,,,,,,,,,,,,,,,,,,
state,geo,stateSymbol,dataSymbol,startYear,startMonth,endYear,endMonth,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,sex,ageRange,state_count,comparisonType
US,US-US,,,2020,9,2020,10,-4.79,-9.78,-12.79,-8.06,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,41,1Month2MonthUS
US,US-US,,,2020,10,2020,11,-1.72,-1.28,-3.64,-3.61,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,all,all,41,1Month2MonthUS
US,US-US,,,2020,11,2020,12,-0.13,3.66,4.44,-0.8,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Increase,Significant Increase,No Significant Change,all,all,41,1Month2MonthUS
US,US-US,,,2020,12,2021,1,2.54,1.2,-2.73,13.39,TRUE,FALSE,FALSE,TRUE,Significant Increase,No Significant Change,No Significant Change,Significant Increase,all,all,40,1Month2MonthUS
US,US-US,,,2021,1,2021,2,3.58,0.57,-2.43,3.53,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,all,all,40,1Month2MonthUS
US,US-US,,,2021,2,2021,3,3.27,7.89,9.95,4.53,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2021,3,2021,4,-3.41,-4.05,-6.4,-1.26,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2021,4,2021,5,-2.3,-3.83,-4.62,-10.25,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,38,1Month2MonthUS
US,US-US,,,2021,5,2021,6,-3.26,0.7,1.61,-2.59,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,all,all,38,1Month2MonthUS
US,US-US,,,2021,6,2021,7,-3.52,-2.93,-2.31,-5.39,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,No Significant Change,No Significant Change,all,all,38,1Month2MonthUS
US,US-US,,,2021,7,2021,8,-6.27,-9.14,-14.07,-7.36,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,1Month2MonthUS
US,US-US,,,2021,8,2021,9,2.4,3.27,-0.5,-2.8,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2021,9,2021,10,1.63,-0.58,-3.56,1.09,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,all,all,40,1Month2MonthUS
US,US-US,,,2021,10,2021,11,-5.14,-5.12,-5.7,-9.32,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,40,1Month2MonthUS
US,US-US,,,2021,11,2021,12,-10.02,-7.05,-8.18,-9.12,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,1Month2MonthUS
US,US-US,,,2021,12,2022,1,1.4,-0.68,-9.2,-0.44,TRUE,FALSE,TRUE,FALSE,Significant Increase,No Significant Change,Significant Decrease,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2022,1,2022,2,20.75,18.79,22.27,27.39,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,39,1Month2MonthUS
US,US-US,,,2022,2,2022,3,-3.15,-2.86,-7.65,5.3,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,all,all,39,1Month2MonthUS
US,US-US,,,2018,1,2019,1,3.12,5.76,-6.44,18.34,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Decrease,Significant Increase,all,all,33,2Year2YearSameMonthUS
US,US-US,,,2018,2,2019,2,4.77,8.89,-4.47,15.19,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Decrease,Significant Increase,all,all,34,2Year2YearSameMonthUS
US,US-US,,,2018,3,2019,3,-3.87,0.11,-10.13,-0.93,TRUE,FALSE,TRUE,FALSE,Significant Decrease,No Significant Change,Significant Decrease,No Significant Change,all,all,35,2Year2YearSameMonthUS
US,US-US,,,2018,4,2019,4,1.15,6.7,-1.78,12.03,FALSE,TRUE,FALSE,TRUE,No Significant Change,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,5,2019,5,2.86,6.16,-3.05,10.67,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,6,2019,6,3.81,6.13,-1.62,16.71,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,7,2019,7,3.25,9.68,-0.22,12.75,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,8,2019,8,3.93,10.16,-2.08,14.12,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,9,2019,9,2.48,9.03,-3.79,11.39,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Decrease,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,10,2019,10,4.9,10.24,-2.56,19.39,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,37,2Year2YearSameMonthUS
US,US-US,,,2018,11,2019,11,5.47,14.37,3.38,7.84,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2018,12,2019,12,7.01,17.29,4.04,12.57,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2019,1,2020,1,10.4,23.62,14.27,14.25,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,36,2Year2YearSameMonthUS
US,US-US,,,2019,2,2020,2,12.06,23.74,16.45,15.95,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,37,2Year2YearSameMonthUS
US,US-US,,*,2019,3,2020,3,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,37,2Year2YearSameMonthUS
US,US-US,,*,2019,4,2020,4,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,38,2Year2YearSameMonthUS
US,US-US,,*,2019,5,2020,5,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,39,2Year2YearSameMonthUS
US,US-US,,*,2019,6,2020,6,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,39,2Year2YearSameMonthUS
US,US-US,,*,2019,7,2020,7,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2019,8,2020,8,23.05,34.12,14.56,21.47,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2019,9,2020,9,27.09,39.31,19.56,24.34,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,41,2Year2YearSameMonthUS
US,US-US,,,2019,10,2020,10,21.2,25.49,7.79,19.03,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,41,2Year2YearSameMonthUS
US,US-US,,,2019,11,2020,11,20.69,26.12,7.43,22.87,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,41,2Year2YearSameMonthUS
US,US-US,,,2019,12,2020,12,29.71,36.84,20.45,22.2,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,41,2Year2YearSameMonthUS
US,US-US,,,2020,1,2021,1,30.5,36.94,15.17,37.38,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2020,2,2021,2,26.56,24.96,1.08,27.4,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,all,all,40,2Year2YearSameMonthUS
US,US-US,,*,2020,3,2021,3,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,39,2Year2YearSameMonthUS
US,US-US,,*,2020,4,2021,4,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,39,2Year2YearSameMonthUS
US,US-US,,*,2020,5,2021,5,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,38,2Year2YearSameMonthUS
US,US-US,,*,2020,6,2021,6,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,38,2Year2YearSameMonthUS
US,US-US,,*,2020,7,2021,7,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,all,all,39,2Year2YearSameMonthUS
US,US-US,,,2020,8,2021,8,-16.47,-20.29,-33.76,-21.85,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,2Year2YearSameMonthUS
US,US-US,,,2020,9,2021,9,-12.95,-14.32,-29.94,-21.28,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2020,10,2021,10,-7.36,-5.66,-22.91,-12.82,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2020,11,2021,11,-10.61,-9.5,-23.95,-17.46,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,40,2Year2YearSameMonthUS
US,US-US,,,2020,12,2021,12,-18.95,-17.91,-33.4,-24.35,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,2Year2YearSameMonthUS
US,US-US,,,2021,1,2022,1,-19.93,-19.31,-37.44,-33.14,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,2Year2YearSameMonthUS
US,US-US,,,2021,2,2022,2,-6.71,-4.29,-21.03,-17.5,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,39,2Year2YearSameMonthUS
US,US-US,,,2021,3,2022,3,-12.51,-13.65,-33.32,-17.68,TRUE,TRUE,TRUE,TRUE,Significant Decrease,Significant Decrease,Significant Decrease,Significant Decrease,all,all,38,2Year2YearSameMonthUS
US,US-US,,,2018,1,2018,2,1.84,6.22,10.82,19.66,FALSE,TRUE,TRUE,TRUE,No Significant Change,Significant Increase,Significant Increase,Significant Increase,F,all,35,3Month2MonthGenderUS
US,US-US,,,2018,1,2018,2,4.21,4.9,2.75,8.92,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,M,all,35,3Month2MonthGenderUS
US,US-US,,*,2018,1,2018,2,-7.54,-22.63,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,Missing,all,35,3Month2MonthGenderUS
US,US-US,,,2018,2,2018,3,7.01,9.18,10.84,16.8,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,F,all,35,3Month2MonthGenderUS
US,US-US,,,2018,2,2018,3,10.2,11.29,8.83,16.87,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,M,all,35,3Month2MonthGenderUS
US,US-US,,*,2018,2,2018,3,-4.03,33.15,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,Missing,all,35,3Month2MonthGenderUS
US,US-US,,,2018,3,2018,4,2.17,-0.08,-7.1,-5.56,TRUE,FALSE,TRUE,FALSE,Significant Increase,No Significant Change,Significant Decrease,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,3,2018,4,-0.78,-0.65,-1.35,-2.15,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,3,2018,4,11.59,4.76,11.1,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,4,2018,5,1.34,2.92,7.86,1.72,FALSE,FALSE,TRUE,FALSE,No Significant Change,No Significant Change,Significant Increase,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,4,2018,5,4,6.99,9.3,2.19,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,4,2018,5,-7.09,-10.77,-5.02,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,5,2018,6,3.21,9.49,9.57,1.92,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,5,2018,6,2.85,5.86,4.03,6.26,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,5,2018,6,-0.49,3.35,-24.81,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,6,2018,7,-0.63,-2.13,-3.95,1.53,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,6,2018,7,1.05,-2.8,-2.53,-3.73,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,6,2018,7,8.23,26.9,20.64,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,7,2018,8,2.65,2.34,4.67,5.47,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,7,2018,8,2.61,5.45,6.58,6.67,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,7,2018,8,-2.4,-22.09,-10.64,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,8,2018,9,-2.74,-7.68,-7.91,-3.99,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,8,2018,9,-4.49,-6.2,-7.58,-6.22,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,8,2018,9,0.78,-7.55,17.25,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,9,2018,10,-2.4,0.26,-3.25,-18.79,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Decrease,F,all,36,3Month2MonthGenderUS
US,US-US,,,2018,9,2018,10,-2.55,-2.27,-6.67,-5.52,TRUE,FALSE,TRUE,FALSE,Significant Decrease,No Significant Change,Significant Decrease,No Significant Change,M,all,36,3Month2MonthGenderUS
US,US-US,,*,2018,9,2018,10,14.35,38.17,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,Missing,all,36,3Month2MonthGenderUS
US,US-US,,,2018,10,2018,11,-1.18,-3.19,-10.06,20.64,FALSE,FALSE,TRUE,TRUE,No Significant Change,No Significant Change,Significant Decrease,Significant Increase,F,all,35,3Month2MonthGenderUS
US,US-US,,,2018,10,2018,11,-1.68,-3.58,-5.96,-3.59,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,M,all,35,3Month2MonthGenderUS
US,US-US,,*,2018,10,2018,11,20.42,15.52,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,Missing,all,35,3Month2MonthGenderUS
US,US-US,,,2018,11,2018,12,-8.22,-5.79,-4.03,-15.42,TRUE,TRUE,FALSE,TRUE,Significant Decrease,Significant Decrease,No Significant Change,Significant Decrease,F,all,36,3Month2MonthGenderUS
